cells,celltype
LS.15906_S01_E1.50,MP
LS.15906_S03_E1.50,MP
LS.15906_S04_E1.50,MP
LS.15906_S06_E1.50,MP
LS.15906_S07_E1.50,MP
LS.15907_S01_E1.50,MP
LS.15907_S04_E1.50,MP
LS.15907_S05_E1.50,GABA2
LS.15907_S06_E1.50,MP
LS.15908_S02_E1.50,MP
LS.15908_S03_E1.50,MP
LS.15908_S04_E1.50,GABA1
LS.15908_S06_E1.50,MP
LS.15908_S07_E1.50,MP
LS.15909_S01_E1.50,MP
LS.15909_S03_E1.50,MP
LS.15909_S04_E1.50,MP
LS.15909_S06_E1.50,MP
LS.15909_S14_E1.50,MP
SM.D9EOO_S01_E1.50,MP
SM.D9EOO_S02_E1.50,MP
SM.D9EOO_S03_E1.50,MP
SM.D9EOO_S04_E1.50,MP
SM.D9EOO_S05_E1.50,MP
SM.D9EOO_S07_E1.50,MP
SM.D9EOO_S09_E1.50,MP
SM.D9EOO_S10_E1.50,MP
SM.D9EOO_S12_E1.50,GABA1
SM.D9EOO_S13_E1.50,MP
SM.D9EOO_S14_E1.50,MP
SM.D9EOO_S17_E1.50,MP
SM.D9EOO_S19_E1.50,MP
SM.D9EOO_S20_E1.50,MP
SM.D9EOO_S22_E1.50,MP
SM.D9EOO_S23_E1.50,MP
SM.D9EOO_S25_E1.50,MP
SM.D9EOO_S26_E1.50,MP
SM.D9EOO_S28_E1.50,GABA1
SM.D9EOO_S30_E1.50,MP
SM.D9EOP_S01_E1.50,GABA2
SM.D9EOP_S02_E1.50,MP
SM.D9EOP_S03_E1.50,MP
SM.D9EOP_S05_E1.50,MP
SM.D9EOP_S06_E1.50,MP
SM.D9EOP_S07_E1.50,MP
SM.D9EOP_S09_E1.50,MP
SM.D9EOP_S10_E1.50,MP
SM.D9EOP_S11_E1.50,GABA2
SM.D9EOP_S13_E1.50,MP
SM.D9EOP_S14_E1.50,MP
SM.D9EOP_S15_E1.50,MP
SM.D9EOP_S18_E1.50,MP
SM.D9EOP_S19_E1.50,K
SM.D9EOP_S20_E1.50,MP
SM.D9EOP_S23_E1.50,MP
SM.D9EOP_S25_E1.50,MP
SM.D9EOP_S26_E1.50,MP
SM.D9EOP_S27_E1.50,MP
SM.D9EOP_S28_E1.50,MP
SM.D9EOP_S29_E1.50,MP
SM.D9EOP_S30_E1.50,MP
SM.D9EOP_S31_E1.50,MP
SM.D9EOQ_S01_E1.50,MP
SM.D9EOQ_S06_E1.50,MP
SM.D9EOQ_S07_E1.50,MP
SM.D9EOQ_S09_E1.50,GABA2
SM.D9EOQ_S11_E1.50,MP
SM.D9EOQ_S12_E1.50,MP
SM.D9EOQ_S14_E1.50,MP
SM.D9EOQ_S15_E1.50,MP
SM.D9EOQ_S17_E1.50,K
SM.D9EOQ_S19_E1.50,MP
SM.D9EOQ_S20_E1.50,MP
SM.D9EOQ_S21_E1.50,MP
SM.D9EOQ_S27_E1.50,MP
SM.D9EOQ_S28_E1.50,GABA2
SM.D9EOR_S11_E1.50,MP
SM.D9EOR_S12_E1.50,MP
SM.D9EOR_S13_E1.50,MP
SM.D9EOR_S14_E1.50,MP
SM.D9EOR_S15_E1.50,GABA2
SM.D9EOR_S17_E1.50,MP
SM.D9EOR_S18_E1.50,MP
SM.D9EOR_S21_E1.50,MP
SM.D9EP1_S36_E1.50,MP
SM.D9EP1_S37_E1.50,MP
SM.D9EP1_S38_E1.50,MP
SM.D9EP1_S39_E1.50,MP
SM.D9EP1_S51_E1.50,GABA2
SM.D9EP1_S52_E1.50,GABA2
SM.D9EP3_S69_E1.50,GABA2
SM.D9EP3_S70_E1.50,GABA2
SM.D9EP3_S71_E1.50,MP
SM.D9EP3_S73_E1.50,MP
SM.D9EP3_S74_E1.50,MP
SM.D9EP3_S75_E1.50,MP
SM.D9EP3_S76_E1.50,MP
SM.D9EP3_S78_E1.50,MP
SM.D9EP3_S79_E1.50,MP
SM.D9EP3_S81_E1.50,K
SM.D9EP3_S82_E1.50,MP
SM.D9EP3_S83_E1.50,MP
SM.D9EP3_S84_E1.50,MP
SM.D9EP3_S85_E1.50,GABA2
SM.D9EP3_S86_E1.50,MP
SM.D9EP3_S87_E1.50,GABA2
SM.D9EP3_S89_E1.50,MP
SM.D9EP3_S90_E1.50,MP
SM.D9EP3_S91_E1.50,MP
SM.D9EP3_S92_E1.50,MP
SM.D9EP3_S93_E1.50,MP
SM.D9EP3_S95_E1.50,MP
SM.D9EP4_S76_E1.50,MP
SM.D9EP4_S81_E1.50,MP
SM.D9EP4_S82_E1.50,MP
SM.D9EP4_S83_E1.50,GABA2
SM.D9EP4_S84_E1.50,MP
SM.D9EP4_S85_E1.50,MP
SM.D9EP4_S89_E1.50,MP
SM.D9EP4_S90_E1.50,MP
SM.D9EP4_S92_E1.50,MP
SM.D9EP4_S94_E1.50,MP
SM.D9EP4_S95_E1.50,MP
SM.D9EPA_S57_E1.50,MP
SM.D9EPA_S58_E1.50,MP
SM.D9EPA_S59_E1.50,MP
SM.D9EPA_S60_E1.50,MP
SM.D9EPA_S61_E1.50,MP
SM.D9EPA_S65_E1.50,GABA2
SM.D9EPA_S67_E1.50,MP
SM.D9EPA_S68_E1.50,MP
SM.D9EPA_S69_E1.50,MP
SM.D9EPA_S70_E1.50,MP
SM.D9EPA_S71_E1.50,MP
SM.D9EPA_S73_E1.50,MP
SM.D9EPA_S74_E1.50,MP
SM.D9EPA_S75_E1.50,MP
SM.D9EPA_S76_E1.50,MP
SM.D9EPA_S77_E1.50,MP
SM.D9EPA_S78_E1.50,GABA2
SM.D9EPA_S81_E1.50,GABA2
SM.D9EPA_S82_E1.50,MP
SM.D9EPA_S83_E1.50,GABA2
SM.D9EPA_S84_E1.50,MP
SM.D9EPA_S85_E1.50,MP
SM.D9EPA_S86_E1.50,MP
SM.D9EPA_S87_E1.50,K
SM.D9EPA_S91_E1.50,MP
SM.D9EPA_S92_E1.50,MP
SM.D9EPA_S93_E1.50,GABA2
SM.D9EPA_S94_E1.50,GABA2
SM.D9EPB_S81_E1.50,MP
SM.D9EPB_S82_E1.50,MP
SM.D9EPB_S83_E1.50,MP
SM.D9EPB_S85_E1.50,MP
SM.D9EPB_S86_E1.50,MP
SM.D9EPB_S87_E1.50,MP
SM.D9EPB_S90_E1.50,MP
SM.D9EPB_S91_E1.50,MP
SM.D9EPB_S92_E1.50,MP
SM.D9EPB_S93_E1.50,MP
SM.D9EPB_S94_E1.50,MP
SM.D9EPB_S95_E1.50,MP
SM.D9EPC_S82_E1.50,MP
SM.D9EPC_S83_E1.50,MP
SM.D9EPC_S84_E1.50,MP
SM.D9EPC_S85_E1.50,MP
SM.D9EPC_S86_E1.50,MP
SM.D9EPC_S87_E1.50,MP
SM.D9EPC_S89_E1.50,GABA2
SM.D9EPC_S90_E1.50,MP
SM.D9EPC_S91_E1.50,MP
SM.D9EPC_S92_E1.50,MP
SM.D9EPC_S93_E1.50,MP
SM.D9EPC_S94_E1.50,MP
SM.D9EPD_S89_E1.50,MP
SM.D9EPD_S90_E1.50,MP
SM.D9EPD_S91_E1.50,MP
SM.D9EPD_S92_E1.50,GABA2
SM.D9EPD_S93_E1.50,GABA1
SM.D9EPD_S94_E1.50,MP
SM.D9EPD_S95_E1.50,MP
SM.D9EPI_S59_E1.50,MP
SM.D9EPI_S65_E1.50,MP
SM.D9EPI_S66_E1.50,MP
SM.D9EPI_S67_E1.50,GABA2
SM.D9EPI_S69_E1.50,MP
SM.D9EPI_S70_E1.50,MP
SM.D9EPI_S71_E1.50,MP
SM.D9EPI_S73_E1.50,MP
SM.D9EPI_S74_E1.50,MP
SM.D9EPI_S75_E1.50,GABA2
SM.D9EPI_S76_E1.50,MP
SM.D9EPI_S77_E1.50,MP
SM.D9EPI_S78_E1.50,MP
SM.D9EPI_S79_E1.50,MP
SM.D9EPI_S81_E1.50,MP
SM.D9EPI_S84_E1.50,MP
SM.D9EPI_S85_E1.50,MP
SM.D9EPI_S86_E1.50,MP
SM.D9EPI_S87_E1.50,MP
SM.D9EPI_S88_E1.50,GABA2
SM.D9EPI_S91_E1.50,MP
SM.D9EPI_S92_E1.50,MP
SM.D9EPI_S93_E1.50,MP
SM.D9EPI_S95_E1.50,MP
SM.D9EPO_S49_E1.50,MP
SM.D9EPO_S51_E1.50,MP
SM.D9EPO_S52_E1.50,MP
SM.D9EPO_S53_E1.50,MP
SM.D9EPO_S54_E1.50,MP
SM.D9EPO_S55_E1.50,MP
SM.D9EPO_S57_E1.50,MP
SM.D9EPO_S58_E1.50,MP
SM.D9EPO_S59_E1.50,MP
SM.D9EPO_S60_E1.50,MP
SM.D9EPO_S61_E1.50,MP
SM.D9EPO_S62_E1.50,MP
SM.D9EPO_S63_E1.50,GABA1
SM.D9EPO_S65_E1.50,MP
SM.D9EPO_S66_E1.50,MP
SM.D9EPO_S67_E1.50,MP
SM.D9EPO_S68_E1.50,MP
SM.D9EPO_S69_E1.50,MP
SM.D9EPO_S70_E1.50,MP
SM.D9EPO_S71_E1.50,MP
SM.D9EPO_S73_E1.50,GABA2
SM.D9EPO_S74_E1.50,MP
SM.D9EPO_S75_E1.50,MP
SM.D9EPO_S76_E1.50,GABA1
SM.D9EPO_S77_E1.50,MP
SM.D9EPO_S78_E1.50,MP
SM.D9EPO_S79_E1.50,MP
SM.D9EPO_S81_E1.50,MP
SM.D9EPO_S82_E1.50,MP
SM.D9EPO_S87_E1.50,MP
SM.D9EPO_S89_E1.50,MP
SM.D9EPO_S90_E1.50,MP
SM.D9EPO_S92_E1.50,MP
SM.D9EPO_S94_E1.50,MP
SM.D9EPO_S95_E1.50,MP
SM.D9EPP_S49_E1.50,MP
SM.D9EPP_S50_E1.50,MP
SM.D9EPP_S51_E1.50,MP
SM.D9EPP_S52_E1.50,MP
SM.D9EPP_S53_E1.50,MP
SM.D9EPP_S54_E1.50,MP
SM.D9EPP_S57_E1.50,MP
SM.D9EPP_S58_E1.50,MP
SM.D9EPP_S60_E1.50,MP
SM.D9EPP_S61_E1.50,MP
SM.D9EPP_S62_E1.50,MP
SM.D9EPP_S63_E1.50,MP
SM.D9EPP_S64_E1.50,MP
SM.D9EPP_S66_E1.50,MP
SM.D9EPP_S68_E1.50,MP
SM.D9EPP_S69_E1.50,MP
SM.D9EPP_S71_E1.50,MP
SM.D9EPP_S73_E1.50,MP
SM.D9EPP_S74_E1.50,GABA2
SM.D9EPP_S75_E1.50,MP
SM.D9EPP_S77_E1.50,GABA2
SM.D9EPP_S78_E1.50,GABA1
SM.D9EPP_S79_E1.50,MP
SM.D9EPP_S85_E1.50,MP
SM.D9EPP_S87_E1.50,MP
SM.D9EPP_S90_E1.50,MP
SM.D9EPP_S94_E1.50,GABA2
SM.D9EPV_S74_E1.50,MP
SM.D9EPV_S75_E1.50,MP
SM.D9EPV_S76_E1.50,MP
SM.D9EPV_S77_E1.50,MP
SM.D9EPV_S78_E1.50,GABA2
SM.D9EPV_S79_E1.50,MP
SM.D9EPV_S81_E1.50,GABA1
SM.D9EPV_S82_E1.50,MP
SM.D9EPV_S83_E1.50,GABA2
SM.D9EPV_S85_E1.50,GABA1
SM.D9EPV_S87_E1.50,MP
SM.D9EPV_S89_E1.50,MP
SM.D9EPV_S90_E1.50,MP
SM.D9EPV_S91_E1.50,MP
SM.D9EPV_S92_E1.50,MP
SM.D9EPV_S93_E1.50,MP
SM.D9EPV_S95_E1.50,MP
SM.D9EPW_S75_E1.50,MP
SM.D9EPW_S76_E1.50,MP
SM.D9EPW_S77_E1.50,MP
SM.D9EPW_S78_E1.50,MP
SM.D9EPW_S79_E1.50,MP
SM.D9EPW_S81_E1.50,GABA1
SM.D9EPW_S82_E1.50,MP
SM.D9EPW_S83_E1.50,MP
SM.D9EPW_S84_E1.50,MP
SM.D9EPW_S85_E1.50,MP
SM.D9EPW_S86_E1.50,MP
SM.D9EPW_S89_E1.50,MP
SM.D9EPW_S90_E1.50,MP
SM.D9EPW_S91_E1.50,MP
SM.D9EPW_S92_E1.50,MP
SM.D9EPW_S93_E1.50,MP
SM.D9EPW_S94_E1.50,MP
SM.D9EPW_S95_E1.50,GABA2
LS.15930_S01_E1.50,MP
LS.15930_S02_E1.50,MP
LS.15930_S03_E1.50,MP
LS.15930_S06_E1.50,MP
LS.15930_S10_E1.50,GABA2
LS.15930_S11_E1.50,GABA2
LS.15930_S12_E1.50,MP
LS.15930_S25_E1.50,MP
LS.15930_S26_E1.50,GABA2
LS.15930_S27_E1.50,GABA2
LS.15930_S41_E1.50,MP
LS.15930_S47_E1.50,MP
LS.15930_S52_E1.50,MP
LS.15930_S55_E1.50,MP
LS.15930_S57_E1.50,K
LS.15930_S61_E1.50,K
LS.15930_S65_E1.50,MP
LS.15930_S66_E1.50,MP
LS.15930_S68_E1.50,MP
LS.15930_S71_E1.50,GABA1
LS.15930_S72_E1.50,GABA2
LS.15930_S73_E1.50,MP
LS.15930_S74_E1.50,MP
LS.15930_S75_E1.50,MP
LS.15930_S76_E1.50,MP
LS.15930_S77_E1.50,GABA2
LS.15930_S78_E1.50,GABA1
LS.15930_S79_E1.50,MP
LS.15930_S81_E1.50,MP
LS.15930_S82_E1.50,MP
LS.15930_S83_E1.50,MP
LS.15930_S84_E1.50,GABA1
LS.15930_S86_E1.50,MP
LS.15930_S87_E1.50,MP
LS.15930_S89_E1.50,MP
LS.15930_S91_E1.50,MP
LS.15930_S94_E1.50,MP
LS.15931_S01_E1.50,MP
LS.15931_S04_E1.50,MP
LS.15931_S09_E1.50,MP
LS.15931_S11_E1.50,MP
LS.15931_S13_E1.50,MP
LS.15931_S17_E1.50,GABA2
LS.15931_S25_E1.50,MP
LS.15931_S27_E1.50,GABA1
LS.15931_S30_E1.50,GABA1
LS.15931_S52_E1.50,MP
LS.15931_S65_E1.50,MP
LS.15931_S66_E1.50,MP
LS.15931_S68_E1.50,GABA2
LS.15931_S69_E1.50,GABA1
LS.15931_S71_E1.50,GABA2
LS.15931_S73_E1.50,MP
LS.15931_S74_E1.50,MP
LS.15931_S76_E1.50,GABA1
LS.15931_S77_E1.50,GABA2
LS.15931_S79_E1.50,GABA2
LS.15931_S81_E1.50,MP
LS.15931_S82_E1.50,MP
LS.15931_S83_E1.50,MP
LS.15931_S84_E1.50,MP
LS.15931_S85_E1.50,MP
LS.15931_S87_E1.50,MP
LS.15931_S89_E1.50,MP
LS.15931_S90_E1.50,MP
LS.15931_S91_E1.50,MP
LS.15931_S92_E1.50,MP
LS.15931_S94_E1.50,MP
LS.15932_S02_E1.50,MP
LS.15932_S03_E1.50,GABA2
LS.15932_S09_E1.50,MP
LS.15932_S12_E1.50,MP
LS.15932_S13_E1.50,GABA1
LS.15932_S14_E1.50,MP
LS.15932_S15_E1.50,MP
LS.15932_S21_E1.50,GABA1
LS.15932_S22_E1.50,GABA2
LS.15932_S27_E1.50,MP
LS.15932_S31_E1.50,GABA1
LS.15932_S33_E1.50,MP
LS.15932_S41_E1.50,MP
LS.15932_S57_E1.50,MP
LS.15932_S58_E1.50,MP
LS.15932_S59_E1.50,GABA1
LS.15932_S60_E1.50,GABA1
LS.15932_S61_E1.50,MP
LS.15932_S63_E1.50,GABA2
LS.15932_S65_E1.50,MP
LS.15932_S68_E1.50,GABA2
LS.15932_S73_E1.50,MP
LS.15932_S74_E1.50,MP
LS.15932_S75_E1.50,MP
LS.15932_S76_E1.50,MP
LS.15932_S79_E1.50,GABA2
LS.15932_S81_E1.50,MP
LS.15932_S82_E1.50,MP
LS.15932_S83_E1.50,MP
LS.15932_S84_E1.50,MP
LS.15932_S85_E1.50,MP
LS.15932_S87_E1.50,MP
LS.15932_S90_E1.50,MP
LS.15932_S91_E1.50,MP
LS.15932_S93_E1.50,MP
LS.15932_S94_E1.50,GABA1
SM.D9CXJ_S09_E1.50,GABA2
SM.D9CXJ_S10_E1.50,MP
SM.D9CXJ_S13_E1.50,GABA1
SM.D9CXJ_S14_E1.50,GABA1
SM.D9CXJ_S17_E1.50,GABA2
SM.D9CXJ_S31_E1.50,GABA2
SM.D9CXJ_S33_E1.50,MP
SM.D9CXJ_S39_E1.50,MP
SM.D9CXJ_S60_E1.50,MP
SM.D9CXJ_S65_E1.50,MP
SM.D9CXJ_S66_E1.50,MP
SM.D9CXJ_S67_E1.50,GABA1
SM.D9CXJ_S68_E1.50,MP
SM.D9CXJ_S73_E1.50,GABA2
SM.D9CXJ_S74_E1.50,MP
SM.D9CXJ_S75_E1.50,GABA2
SM.D9CXJ_S77_E1.50,MP
SM.D9CXJ_S89_E1.50,GABA2
SM.D9CXJ_S90_E1.50,GABA1
SM.D9CXJ_S91_E1.50,GABA2
SM.D9CXK_S58_E1.50,MP
SM.D9CXK_S60_E1.50,GABA2
SM.D9CXK_S74_E1.50,GABA2
SM.D9CXK_S79_E1.50,MP
SM.D9CXL_S66_E1.50,GABA1
SM.D9CXL_S74_E1.50,MP
SM.D9CXL_S75_E1.50,GABA1
SM.D9CXL_S76_E1.50,GABA2
SM.D9CXL_S81_E1.50,MP
SM.D9CXL_S83_E1.50,GABA1
SM.D9CXL_S84_E1.50,GABA2
SM.D9CXL_S86_E1.50,GABA1
SM.D9CXM_S73_E1.50,GABA2
SM.D9CXM_S74_E1.50,GABA2
SM.D9CXM_S75_E1.50,K
SM.D9CXM_S76_E1.50,GABA1
SM.D9CXM_S77_E1.50,GABA1
SM.D9CXM_S83_E1.50,GABA1
SM.D9CXM_S84_E1.50,GABA1
SM.D9CXM_S85_E1.50,GABA2
SM.D9CXM_S86_E1.50,GABA1
SM.D9CXM_S89_E1.50,GABA2
SM.D9CXM_S91_E1.50,MP
SM.D9CXM_S92_E1.50,GABA2
SM.D9CXN_S58_E1.50,GABA1
SM.D9CXN_S59_E1.50,MP
SM.D9CXN_S74_E1.50,GABA1
SM.D9CXN_S76_E1.50,K
SM.D9CXN_S77_E1.50,GABA2
SM.D9CXN_S81_E1.50,GABA2
SM.D9CXN_S85_E1.50,GABA1
SM.D9CXN_S89_E1.50,GABA1
SM.D9CXN_S91_E1.50,MP
SM.D9CXN_S92_E1.50,GABA2
SM.D9CXN_S93_E1.50,GABA1
SM.D9CXN_S95_E1.50,GABA1
SM.D9D7U_S01_E1.50,MP
SM.D9D7U_S10_E1.50,GABA1
SM.D9D7Z_S03_E1.50,K
SM.D9D7Z_S07_E1.50,GABA2
SM.D9D7Z_S13_E1.50,K
